RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
d00699,EPINEPHRINE,1.0,40.0,54.0,nan,40.0,433.0,nan,122.0,125.0,180.0,nan,nan,nan,40.0,54.0,nan,40.0,433.0,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CARDIOVASCULAR AGENTS,CATECHOLAMINES,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,CARDIOVASCULAR AGENTS,CATECHOLAMINES,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,
d00700,EPHEDRINE,1.0,40.0,54.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,
d00703,METHOXAMINE,1.0,40.0,54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASOPRESSORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,,,,,,,,,,,,,,,
d00704,PHENYLEPHRINE,1.0,40.0,54.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,40.0,54.0,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,
d00709,BISOPROLOL,1.0,40.0,47.0,274.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,47.0,274.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, CARDIOSELECTIVE,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, CARDIOSELECTIVE,,,,,,,,,,,,,,,
d00717,GUANFACINE,1.0,40.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIADRENERGIC AGENTS, CENTRALLY ACTING,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIADRENERGIC AGENTS, CENTRALLY ACTING,,,,,,,,,,,,,,,,
d00725,GUANADREL,1.0,40.0,43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING,,,,,,,,,,,,,,,,
d00726,DOXAZOSIN,1.0,40.0,43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING,,,,,,,,,,,,,,,,
d00728,RAMIPRIL,1.0,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,,,,,,
d00730,BENAZEPRIL,1.0,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,,,,,,
d00732,LISINOPRIL,1.0,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,,,,,,
d00734,PHENOXYBENZAMINE,1.0,40.0,51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,,,,,,
d00743,SODIUM POLYSTYRENE SULFONATE,1.0,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
d00744,COLESTIPOL,1.0,358.0,19.0,252.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,19.0,252.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,BILE ACID SEQUESTRANTS,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,BILE ACID SEQUESTRANTS,,,,,,,,,,,,,,,
d00746,SIMVASTATIN,1.0,358.0,19.0,173.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,19.0,173.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,HMG-COA REDUCTASE INHIBITORS,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,HMG-COA REDUCTASE INHIBITORS,,,,,,,,,,,,,,,
d00749,ALBUTEROL,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00750,METAPROTERENOL,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00751,ISOETHARINE,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00752,TERBUTALINE,1.0,113.0,427.0,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,113.0,427.0,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GENITOURINARY TRACT AGENTS,TOCOLYTIC AGENTS,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,GENITOURINARY TRACT AGENTS,TOCOLYTIC AGENTS,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,
d00754,BITOLTEROL,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00755,PIRBUTEROL,1.0,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00756,OXTRIPHYLLINE,1.0,122.0,125.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,,,,,,
d00758,AMINOPHYLLINE,1.0,122.0,125.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,,,,,,
d00759,DYPHYLLINE,1.0,122.0,125.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,,,,,,
d00760,BECLOMETHASONE,1.0,122.0,130.0,296.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,130.0,296.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,,,,,,
d00761,FLUNISOLIDE,1.0,122.0,130.0,296.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,130.0,296.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,,,,,,
d00762,ACETYLCYSTEINE,1.0,105.0,106.0,nan,122.0,130.0,297.0,nan,nan,nan,nan,nan,nan,105.0,106.0,nan,122.0,130.0,297.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MISCELLANEOUS AGENTS,ANTIDOTES,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,MUCOLYTICS,,,,,,,MISCELLANEOUS AGENTS,ANTIDOTES,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,MUCOLYTICS,,,,,,,,,,,,
d00765,CROMOLYN OPHTHALMIC,1.0,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00767,PHENYLPROPANOLAMINE,1.0,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,,,,
d00769,PSEUDOEPHEDRINE,1.0,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,127.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,,,,
d00771,NAPHAZOLINE OPHTHALMIC,1.0,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00773,TETRAHYDROZOLINE OPHTHALMIC,1.0,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00780,CLEMASTINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00781,TRIPELENNAMINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00784,DEXCHLORPHENIRAMINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00785,BROMPHENIRAMINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00786,TRIPROLIDINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00787,PROMETHAZINE,1.0,57.0,65.0,196.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,57.0,65.0,196.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,
d00790,CYPROHEPTADINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00791,AZATADINE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00794,ASTEMIZOLE,1.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00796,BENZONATATE,1.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,,,,,,
d00797,GUAIFENESIN,1.0,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,,,,
d00799,IODINATED GLYCEROL,1.0,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,,,,
d00800,POTASSIUM IODIDE,1.0,97.0,422.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,97.0,422.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,ANTITHYROID AGENTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,HORMONES/HORMONE MODIFIERS,ANTITHYROID AGENTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
d00801,CAFFEINE,1.0,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d00803,AMPHETAMINE,1.0,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d00804,DEXTROAMPHETAMINE,1.0,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d00805,METHAMPHETAMINE,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00806,PHENTERMINE,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00807,BENZPHETAMINE,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00809,PHENDIMETRAZINE,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00810,DIETHYLPROPION,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00811,MAZINDOL,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00812,FENFLURAMINE,1.0,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,57.0,71.0,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00813,BENZOCAINE TOPICAL,1.0,133.0,136.0,139.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,136.0,139.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANESTHETICS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANESTHETICS,,,,,,,,,,,,,,,
d00817,HYDROXYCHLOROQUINE,1.0,1.0,5.0,238.0,105.0,192.0,nan,nan,nan,nan,nan,nan,nan,1.0,5.0,238.0,105.0,192.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,ANTIMALARIAL AGENTS,ANTIMALARIAL QUINOLINES,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,,,,,,,ANTI-INFECTIVES,ANTIMALARIAL AGENTS,ANTIMALARIAL QUINOLINES,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,,,,,,,,,,,,
